Provinsi ;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aceh;4083.5;4153.6;4223.8;4293.9;4363.5;4432.4;4500.7;4568.2;4634.9;4700.7;4765.6;4829.4;4892.2;4953.5;5013.1;5071.1;5128.3;5184.3
Sumatera Utara;12418;12625.9;12834.4;13042.3;13248.4;13452.4;13654.2;13835.5;14050.3;14244.4;14435.9;14624.4;14809.9;14990.8;15167.1;15338.5;15507.9;15675
Sumatera Barat;4567.2;4632.5;4697.8;4763.1;4828;4892.4;4956.3;5019.6;5082.4;5144.4;5205.6;5266;5325.5;5383.5;5440;5495;5549.4;5603.2
Riau;4835.9;4953;5071;5189.2;5306.5;5423;5538.3;5652.2;5764.7;5876.9;5988.7;6099.9;6210.6;6320.8;6430.4;6539.3;6648.8;6758.7
Jambi;2650.5;2696.2;2742.2;2788.3;2834.3;2879.9;2925.3;2970.5;3015.3;3059.8;3103.8;3147.3;3190.3;3232.4;3273.8;3314.2;3354.3;3394
Sumatera Selatan;6815.9;6917.9;7020;71218;7222.6;7322.5;7421.2;7518.7;7614.9;7709.5;7802.3;7893.3;7982.3;8068.5;8151.8;8232;8310.7;8387.8
Bengkulu;1566.1;1591.4;1616.7;1641.9;1666.9;1691.6;1716.1;1740.3;17641.1;1787.7;1811;1833.9;1856.6;1878.7;1900.3;1921.3;1942.2;1962.9
Lampung;7087.4;7188.4;7289.8;7391.1;7491.9;7592.2;7691.8;7790.7;7888.9;7986.1;8082.2;8177.3;8271.1;8362.8;8452.1;8539;8625.1;8710.3
Kepulauan Bangka Belitung;1074.8;1090.7;1106.7;1122.5;1138.1;1153.5;1168.6;1183.4;1198;1212.2;1226.1;1239.5;1252.6;1265.1;1277.2;1288.6;1299.8;1310.6
Kepulauan Riau;1278.9;1334.9;1392.9;1453.1;1515.3;1579.6;1646;1714.6;1785.5;1858.3;1933.2;2010.1;2089.1;2170;2252.7;2337.1;2423.8;2512.8
DKI Jakarta ;8892.3;8979.7;9064.6;9146.2;9223;9294.9;9361.9;9423.7;9480.2;9532.7;9581.1;9625.4;9665.5;9701;9732.1;9758.5;9782.4;9803.5
Jawa Barat;39150.6;39739.1;40239.3;40918.3;41501.5;42081.7;42655.3;43224.6;43786.3;44340.5;44891.2;45435.9;45970.2;46495.6;47006;47505.2;47998.8;48488.4
Jawa Tengah;31873.5;32128.6;32380.3;32626.4;32864.6;33094.6;33316.3;33529.6;33734.1;33929.8;34116.4;34293.8;34461.8;34617.6;34760.9;34891.6;35016.5;35135.6
DI Yogyakarta;3365.5;3400.2;3434.5;3468.5;3501.9;3534.6;3566.6;3597.9;3628.5;3658.2;3686.9;3714.7;3741.6;3767.1;3.791.3;3814.1;3836.3;3857.8
Jawa Timur;36481.8;36690.6;36895.6;37094.8;37286.2;37469.7;37645.1;37812.2;37971;38119.9;38258.6;38387.2;38505.4;38607;38692;38760.1;38819;38868.7
Banten;9071.1;9246.1;9423.4;9602.4;9782.8;9964.3;10147.1;10331;10515.9;10701.2;10886.7;11072.5;11258.3;11442.2;11624.1;11803.9;11983.5;12163
Bali;3405.4;3442.8;3479.8;3516;3551;3584.8;3617.4;3648.6;3678.5;3707.4;3735.1;3761.7;3787.1;3811.3;3834.2;3855.7;3876.7;3897.1
Nusa Tenggara Barat;4149.1;4220.8;4292.5;4363.8;4434;4503.2;4571.2;4637.9;4703.3;4767.6;4830.6;4892.3;4952.7;5011.5;5068.8;5124.3;5179.1;5233.2
Nusa Tenggara Timur;4279.5;4363.8;4448.9;4534.3;4619.7;4704.8;4789.8;4874.5;4958.8;5042.5;5125.5;5207.7;5289.1;5369;5447.2;5523.8;5599.7;5674.9
Kalimantan Barat;4037.2;4107.8;4178.5;4249.1;4319.1;4388.5;4457.1;4525;4592;4658;4723;4787;4849.8;4911;4970.5;5028.2;5085.2;5141.2
Kalimantan Tengah;1969.7;1999.1;2028.3;2057.3;2085.3;2113.8;2141.2;2168.1;2194.3;2220.1;2245.4;2270.1;2294.3;2317.8;2340.4;2362.3;2383.8;2404.9
Kalimantan Selatan;3296.6;3346.6;3396.7;3446.6;3496.1;3545.1;3593.6;3641.6;3688.9;3735.6;3781.6;3826.9;3871.5;3914.8;3956.7;3997.3;4037.3;4076.6
Kalimantan Timur;2887.1;2955.5;3024.8;3094.7;3164.8;3235.1;3305.6;3376.1;3446.7;3517.3;3588;3658.7;3729.3;3799.5;3869.2;3938.3;4007.5;4076.9
Sulawesi Utara ;2143.8;2165.4;2186.8;2208;2228.9;2249.3;2269.4;2289;2308.3;2327;2345.2;2363;2380.2;2396.6;2412.1;2426.8;2441;2454.9
Sulawesi Tengah;2312;2354;2396.2;2438.4;2480.3;2521.8;2563;2603.8;2664.2;2684.3;2312;2354;2396.2;2438.4;2480.3;2521.8;2563;2603.8
Sulawesi Selatan;7489.7;7595;7700.3;7805;7908.5;8010.7;8111.5;8210.8;8308.5;8404.5;8498.8;8591.3;8681.8;8769.5;8854.2;8935.9;9016.1;9094.9
Sulawesi Tenggara;1945.1;1988.2;2031.5;2075;2118.3;2161.4;2204.3;2246.9;2289.1;2331.1;2372.8;2414.1;2445.1;2495.5;2535.3;2574.5;2613.5;2652.4
Gorontalo;936.3;948.3;960.3;972.2;984;995.5;1006.9;1018.1;1029.1;1040;1050.6;1061.2;1071.5;1081.6;1091.2;1100.6;1109.8;1118.8
Sulawesi Barat ;985.7;1001.2;1016.7;1032.3;1047.7;1063.1;1078.5;1093.7;1108.7;1123.7;1138.5;1153.1;1167.5;1181.6;1195.3;1208.6;1221.8;1247.6
Maluku;1264.8;1283.4;1302;1320.7;1339.5;1358.3;1377;1395.7;1414.4;1433;1451.5;1469.8;1488;1505.8;1523.2;1540.2;1557;1573.8
Maluku Utara;914.1;929.1;944.3;959.6;975;990.5;1006;1021.7;1037.4;1053.2;1069;1084.8;1100.7;1116.3;1131.7;1146.9;1162;1177.1
Papua ;1934.7;1975;2015.6;2056.5;2097.5;2138.5;2179.4;2220.4;2261.2;2302.1;2342.9;2383.6;2424.2;2464.4;2504.3;2543.6;2583;2622.4
Papua Barat;688.2;702.1;716;730;743.9;757.7;771.4;785;798.5;812;825.3;838.5;851.6;864.5;877.2;889.7;902.2;914.7
